"","Hedges","Positive.Emotion","Negative.Emotion","Impersonal.Pronoun","Swearing","Negation","Filler.Pause","Informal.Title","Formal.Title","Could.You","Can.You","By.The.Way","Let.Me.Know","Goodbye","For.Me","For.You","Reasoning","Reassurance","Ask.Agency","Give.Agency","Hello","Please","First.Person.Plural","First.Person.Single","Second.Person","Agreement","Acknowledgement","Subjectivity","Bare.Command","WH.Questions","YesNo.Questions","Gratitude","Apology","Truth.Intensifier","Affirmation","Adverb.Just","Conjunction.Start"
"53",2,3,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0
"54",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0
"55",0,1,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"56",1,3,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"57",2,0,2,3,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1
"58",1,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"59",0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"60",0,2,7,12,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,1,0,0,0,0,0,1,0,0,0
"61",0,3,1,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"62",3,0,4,17,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,3
"63",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"64",0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0
"65",1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"66",2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"67",2,7,1,11,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,1,0,0,0,0,1,0,0,0
"68",0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"69",3,3,2,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,2,0,0,0,0,1,0,1,0
"70",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"71",1,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"72",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"73",0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
"74",1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0
"75",7,16,13,19,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,7,0,0,1,0,0,0,0,0,2,0,0,0
"76",6,36,23,39,0,8,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,5,11,0,0,1,0,0,1,0,0,1,0,1,2
"77",1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"78",2,6,2,14,1,3,0,1,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,1,11,0,0,0,0,0,0,0,0,1,0,1,1
"79",1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0
"80",1,5,12,10,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,1
"81",0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"82",0,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"83",0,14,6,11,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,1,0,0,1,0,0,1,0,0,1,0,2,0
"84",0,10,6,14,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,2,0,0,0
"85",0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
"86",1,3,5,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
"87",0,6,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,1,1
